Label,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,17.25,4.686510657907603,81.59095146760907,8.007934304135539,4.26558195313145,23.071067811865476,80.0,93.26086956521739,101.0
2,3.25,2.0342144725641096,78.69006752597979,2.7735009811261455,1.4675987714106855,5.103553390593274,89.0,94.61538461538461,100.0
3,3.75,2.1850968611841584,90.0,2.8284271247461903,1.632993161855452,6.0,95.0,101.46666666666667,106.0
4,1.5,1.381976597885342,90.0,1.632993161855452,1.0,3.0,94.0,98.16666666666667,105.0
5,2.25,1.692568750643269,-45.0,1.632993161855452,1.632993161855452,4.0,99.0,103.22222222222223,108.0
6,1.5,1.381976597885342,90.0,1.632993161855452,1.0,3.0,100.0,103.16666666666667,108.0
7,9.75,3.523362819972964,-24.268126694260843,3.862743942769987,3.3077397375624633,10.707106781186548,88.0,104.82051282051282,111.0
8,5.75,2.7057581899030048,37.892073263163226,2.9395143678631563,2.5101103854035123,7.707106781186548,99.0,105.26086956521739,112.0
9,5.75,2.7057581899030048,-87.87433199896927,4.439995080505183,1.605477809562946,8.707106781186548,107.0,110.95652173913044,116.0
10,13.25,4.1073621666150775,8.970365345838584,6.654729903231237,3.6435240732358203,17.742640687119284,105.0,112.77358490566037,120.0
11,17.0,4.652426491681278,87.883314839536,6.76335718076776,4.230807630863287,22.15685424949238,109.0,115.05882352941177,121.0
12,1.5,1.381976597885342,90.0,1.632993161855452,1.0,3.0,111.0,113.5,116.0
13,2.0,1.5957691216057308,90.0,2.23606797749979,1.0,4.0,108.0,117.75,124.0
14,1.5,1.381976597885342,90.0,1.632993161855452,1.0,3.0,106.0,121.66666666666667,128.0
15,2.0,1.5957691216057308,90.0,2.23606797749979,1.0,4.0,106.0,115.875,121.0
16,1.5,1.381976597885342,90.0,1.632993161855452,1.0,3.0,114.0,120.5,129.0
17,10.75,3.6996385101659595,-72.57634628178307,8.403334386495874,1.8799794493849458,15.414213562373096,109.0,120.13953488372093,129.0
18,6.75,2.9316150714175193,72.46312275332585,4.102732796701531,2.342769995793575,9.121320343559642,109.0,120.03703703703704,129.0
19,2.0,1.5957691216057308,90.0,2.23606797749979,1.0,4.0,110.0,119.0,125.0
20,51.25,8.07796550300118,-82.98181462612136,11.305711708561688,8.091248785890931,55.36700935788386,98.0,124.92682926829268,133.0
21,3.75,2.1850968611841584,45.00000000000002,2.309401076758503,2.0132891827388666,5.707106781186548,106.0,122.53333333333333,130.0
22,3.5,2.111004122822376,-35.51479609575674,2.370123448722665,1.8830242016334868,5.707106781186548,108.0,123.07142857142857,132.0
23,22.25,5.322553886092406,20.231113746046674,8.639042373175112,5.631260546324214,29.503048327204944,114.0,124.31460674157303,134.0
24,9.25,3.431831258788849,56.956049028773016,5.819654558886696,2.7490869586014286,13.517766952966369,109.0,124.05405405405405,131.0
25,10.0,3.5682482323055424,0.6711482186927585,4.4092409453143215,3.0325062714137414,11.535533905932738,119.0,124.275,130.0
26,4.0,2.256758334191025,-82.42714692778492,3.301448858356288,1.5125922899638105,6.103553390593274,113.0,123.75,129.0
27,19.75,5.014626706796775,-88.16947476859302,10.975982768457566,3.804992839519085,25.63908729652601,104.0,119.54430379746836,130.0
28,12.0,3.9088200952233594,47.56978477338101,4.372908807324737,3.679791163539882,12.535533905932738,108.0,118.47916666666667,127.0
29,1.5,1.381976597885342,90.0,1.632993161855452,1.0,3.0,110.0,116.5,121.0
30,6.0,2.763953195770684,-67.0965352724488,4.916162986401183,1.8022231154342887,9.0,101.0,112.91666666666667,122.0
31,1.5,1.381976597885342,90.0,1.632993161855452,1.0,3.0,107.0,114.16666666666667,119.0
32,3.5,2.111004122822376,90.0,4.0,1.0,7.0,107.0,113.71428571428571,121.0
33,5.5,2.6462837142006137,10.073512873159569,3.3557421255365716,2.08580081379627,7.707106781186548,103.0,109.72727272727273,117.0
34,9.0,3.385137501286538,42.50794250871065,4.813541736498102,2.872206301331885,11.82842712474619,96.0,105.5,112.0
35,1.5,1.381976597885342,90.0,1.632993161855452,1.0,3.0,104.0,109.16666666666667,114.0
