Label,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,3.75,2.1850968611841584,90.0,2.8284271247461903,1.632993161855452,6.0,90.0,107.6,124.0
2,1.5,1.381976597885342,90.0,1.632993161855452,1.0,3.0,99.0,104.33333333333333,114.0
3,10.5,3.656366395715726,-18.0051758913074,5.774281934020828,2.531001277393707,13.535533905932738,81.0,103.38095238095238,129.0
4,2.0,1.5957691216057308,90.0,2.23606797749979,1.0,4.0,89.0,96.625,112.0
5,1.5,1.381976597885342,90.0,1.632993161855452,1.0,3.0,86.0,96.66666666666667,108.0
6,4.25,2.326213245840639,41.477115437566255,3.277334550063943,1.8148499450592988,6.914213562373095,81.0,98.82352941176471,116.0
7,7.5,3.0901936161855166,-79.25803547514865,5.589753562743768,1.7163234598712633,11.121320343559642,74.0,109.1,137.0
8,3.5,2.111004122822376,-82.83864001089823,2.724676832948657,1.572925726048864,5.707106781186548,96.0,112.35714285714286,122.0
9,3.25,2.0342144725641096,-78.69006752597979,2.7735009811261455,1.4675987714106855,5.103553390593274,80.0,118.0,143.0
10,2.0,1.5957691216057308,90.0,2.23606797749979,1.0,4.0,106.0,116.125,130.0
11,1.5,1.381976597885342,90.0,1.632993161855452,1.0,3.0,111.0,115.33333333333333,119.0
12,3.25,2.0342144725641096,-78.69006752597979,2.7735009811261455,1.4675987714106855,5.103553390593274,101.0,114.23076923076923,125.0
13,3.0,1.9544100476116797,90.0,2.23606797749979,1.632993161855452,5.0,109.0,121.58333333333333,137.0
14,5.25,2.5854414729132054,42.35495939731437,4.263928555702998,1.8505014046823356,8.5,111.0,119.0952380952381,136.0
15,8.25,3.2410224072142872,-61.17136331638836,5.006712834027819,2.22801434051258,10.63908729652601,94.0,130.0909090909091,167.0
16,21.5,5.232078956954491,51.42743215452022,8.799738572274208,5.5693157732704055,28.485281374238568,94.0,127.48837209302326,157.0
17,1.5,1.381976597885342,90.0,1.632993161855452,1.0,3.0,110.0,128.0,161.0
18,5.25,2.5854414729132054,-38.80785804592449,4.926687474086805,1.7918548294867762,9.0,108.0,125.80952380952381,147.0
19,8.5,3.2897623212397704,41.56719276055554,4.981677597862368,2.420253870027956,11.224873734152917,100.0,121.20588235294117,140.0
20,1.5,1.381976597885342,90.0,1.632993161855452,1.0,3.0,110.0,126.33333333333333,139.0
21,7.5,3.0901936161855166,44.22210041303613,6.816252558609535,1.8014904173810191,12.5,103.0,125.0,169.0
22,1.5,1.381976597885342,90.0,1.632993161855452,1.0,3.0,116.0,122.33333333333333,130.0
23,2.0,1.5957691216057308,90.0,2.23606797749979,1.0,4.0,102.0,114.375,132.0
24,4.25,2.326213245840639,85.69217590791794,3.292835353004048,1.5898042497551639,6.707106781186548,106.0,121.29411764705883,137.0
25,1.5,1.381976597885342,90.0,1.632993161855452,1.0,3.0,116.0,123.0,136.0
26,10.0,3.5682482323055424,-73.86217784271118,5.098583411956607,4.336409481508974,15.810660171779821,101.0,116.6,136.0
27,2.0,1.5957691216057308,90.0,2.23606797749979,1.0,4.0,105.0,116.625,126.0
28,6.75,2.9316150714175193,87.87657869648827,5.596996130302452,1.5586738662585633,9.810660171779821,91.0,113.33333333333333,144.0
29,5.0,2.5231325220201604,72.2914723617663,4.711602183805477,1.523418807012524,8.5,85.0,115.05,136.0
30,11.75,3.8678889139475245,-83.07995372919086,6.873701400365011,2.9164985479532723,16.639087296526014,87.0,113.76595744680851,145.0
31,2.0,1.5957691216057308,90.0,2.23606797749979,1.0,4.0,104.0,121.625,142.0
