Label,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,6.75,2.9316150714175193,21.93529490389254,4.039826551713082,2.2143611711752653,9.414213562373096,62.0,69.25925925925925,74.0
2,159.25,14.239501307948768,-14.444835138096963,37.702774435857975,11.421753776879566,181.17209588551708,69.0,81.67660910518053,96.0
3,43.5,7.442171739215616,76.11090177828757,11.162978807457646,9.309032449492523,50.07411613907041,77.0,88.3103448275862,105.0
4,2.0,1.5957691216057308,90.0,2.23606797749979,1.0,4.0,80.0,87.625,94.0
5,2.0,1.5957691216057308,90.0,2.23606797749979,1.0,4.0,92.0,95.625,100.0
6,52.5,8.175883811466258,-50.86249398801331,19.95773351897021,5.023354278295937,57.352290732122434,81.0,94.86190476190477,105.0
7,1487.0,43.51215006203655,48.982986220452744,90.1859203866923,49.69854860478604,1480.8036969655927,78.0,118.25437121721588,146.0
8,8.5,3.2897623212397704,-31.052307376595646,5.155396243965015,2.171636989639439,11.242640687119284,98.0,104.76470588235294,111.0
9,1.5,1.381976597885342,90.0,1.632993161855452,1.0,3.0,92.0,97.83333333333333,103.0
10,10.75,3.6996385101659595,-7.33020746669886,4.762699395650784,3.4066844917011347,13.949747468305832,76.0,95.76744186046511,105.0
11,3.5,2.111004122822376,-45.0,2.390457218668787,1.7728105208558367,5.414213562373095,83.0,99.35714285714286,111.0
12,54.0,8.291859587312052,33.25953906114394,14.380085917406818,9.116571575615495,60.420310216782966,82.0,103.44907407407408,118.0
13,5.25,2.5854414729132054,86.38640335584347,3.1185355480371646,2.1629526470873968,7.414213562373096,88.0,102.04761904761905,107.0
14,715.75,30.188097060666024,87.68329022024848,45.46687632814517,39.282612304732545,704.3041302414813,71.0,120.71847712190011,140.0
15,11.75,3.8678889139475245,59.1931941618058,6.520719562876486,3.006692248065778,16.724873734152915,100.0,118.40425531914893,125.0
16,1.5,1.381976597885342,90.0,1.632993161855452,1.0,3.0,113.0,115.33333333333333,116.0
17,16798.5,146.24812645717424,-5.3925316176139715,309.9629792582141,176.31841600460112,16165.868101566364,77.0,130.49193380361342,161.0
18,3.5,2.111004122822376,82.83864001089823,2.724676832948657,1.5729257260488638,5.707106781186548,114.0,120.78571428571429,126.0
19,51.5,8.097643889049511,86.64788325927907,11.992605085704692,7.51967465791218,54.59188309203678,95.0,120.7621359223301,130.0
20,7.0,2.985410660720923,-60.84983471525217,3.7617258614430917,2.4164466602260397,9.121320343559642,111.0,119.5,129.0
21,1.5,1.381976597885342,90.0,1.632993161855452,1.0,3.0,117.0,120.0,123.0
22,3.0,1.9544100476116797,90.0,3.415650255319866,1.0,6.0,116.0,120.25,125.0
23,12.5,3.989422804014327,64.65382405805332,5.692099788303083,3.836665218650175,18.053300858899107,99.0,112.68,117.0
24,7.75,3.141274657157109,-30.376082770266354,4.678648292729139,2.259895662362256,10.535533905932738,97.0,105.25806451612904,110.0
25,80.25,10.108287365572707,79.38381974109129,14.355836139821957,9.414582305567922,72.3700576850888,106.0,117.82554517133957,127.0
26,295.5,19.39696588307668,-8.44199732357673,40.815157507730774,15.791997627901369,271.1695705685754,58.0,108.55668358714044,130.0
27,6.0,2.763953195770684,-4.649620841031699,3.8525312343733065,2.003040128116447,8.414213562373096,61.0,66.33333333333333,76.0
28,4.75,2.4592453796829674,-12.820502912152639,2.772349116888545,2.1478476084574902,6.707106781186548,102.0,113.42105263157895,121.0
29,9.75,3.523362819972964,-4.284570939918823,6.2522412291004885,2.0357292592780576,12.707106781186548,73.0,92.66666666666667,106.0
30,3.75,2.1850968611841584,-45.0,2.309401076758503,2.0132891827388666,5.707106781186548,106.0,111.33333333333333,115.0
31,2.25,1.692568750643269,-45.0,1.632993161855452,1.632993161855452,4.0,90.0,95.44444444444444,99.0
32,2.25,1.692568750643269,-45.0,1.632993161855452,1.632993161855452,4.0,66.0,71.22222222222223,83.0
33,4.0,2.256758334191025,-63.93749182554911,2.9326504330976517,1.702809865267451,6.414213562373095,102.0,108.0,115.0
34,51.5,8.097643889049511,-6.162998238280809,14.813987091823638,6.451310191254636,60.00609665440987,66.0,76.01456310679612,89.0
35,6.5,2.876813695875796,77.92973693274404,3.8236793794308617,2.4724893961281436,9.121320343559642,66.0,75.76923076923077,87.0
