Label,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,6.25,2.8209479177387813,65.86678048118321,3.5298548397150884,2.2700054648700676,8.414213562373096,67.0,76.04,85.0
2,56.5,8.481629223064205,1.8569215073951864,15.961162735539812,5.363021383454523,45.2634559672906,65.0,79.84513274336283,93.0
3,4.25,2.326213245840639,-82.92797825483665,4.0235150523862275,1.3838832507098116,7.103553390593274,69.0,77.29411764705883,90.0
4,3.0,1.9544100476116797,90.0,2.23606797749979,1.632993161855452,5.0,75.0,82.5,90.0
5,1.5,1.381976597885342,90.0,1.632993161855452,1.0,3.0,76.0,83.83333333333333,95.0
6,151.0,13.86575534383214,-11.065041853101798,21.35340492062705,14.678951919556606,153.5685424949238,84.0,103.50331125827815,117.0
7,9.0,3.385137501286538,-62.344835303291,4.637699280676559,2.688754303204324,11.121320343559642,84.0,106.11111111111111,117.0
8,23.5,5.4700209598571305,-0.7181516341761964,9.322717149962124,4.562034630647514,25.156854249492376,85.0,111.56382978723404,127.0
9,4.25,2.326213245840639,63.72182797178027,2.776089230635553,1.9587192700091083,6.414213562373095,100.0,112.58823529411765,122.0
10,17.75,4.753945931439391,-19.826539404589774,5.728506111564039,4.133836206304867,17.242640687119284,103.0,115.80281690140845,125.0
11,68.75,9.356025796273888,54.23093437331065,20.74504087918551,7.329012171963545,76.73401871576773,90.0,121.29818181818182,134.0
12,17.5,4.720348719413148,-89.41205029550993,7.721802511732548,3.4715006827320476,18.77817459305202,100.0,117.58571428571429,128.0
13,44.0,7.48482063701911,38.20726834983703,11.814588965561477,8.012721804438794,44.488329701443504,91.0,125.11931818181819,137.0
14,1.5,1.381976597885342,90.0,1.632993161855452,1.0,3.0,111.0,117.5,126.0
15,2.0,1.5957691216057308,90.0,2.23606797749979,1.0,4.0,98.0,114.75,125.0
16,42.5,7.356132180109627,-84.08722333986319,12.83094117936839,9.045147832768706,47.72792206135786,105.0,123.94705882352942,140.0
17,13.0,4.068428945128219,-29.456088892581395,7.109426774604777,3.1816993415227537,17.535533905932738,100.0,116.78846153846153,130.0
18,2.75,1.8712051592547776,74.92930722396234,2.173064992070944,1.533678162302953,4.707106781186548,105.0,121.0909090909091,128.0
19,9.5,3.477898169151024,40.188472020375706,4.2559276828523815,3.0572722079240187,11.535533905932738,101.0,122.86842105263158,133.0
