Label,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,60.75,8.79484521425256,-16.538312906429997,15.82858107911591,7.5596568762676934,66.9558441227157,62.0,74.65843621399176,84.0
2,4.5,2.393653682408596,0.0,3.415650255319866,1.632993161855452,7.0,67.0,72.11111111111111,78.0
3,13.75,4.1841419359420025,-30.925278379525537,7.182949715289778,3.7352832323178675,17.93198051533946,72.0,80.67272727272727,91.0
4,30.5,6.231677632421503,74.07493317928643,15.021069193310192,4.452484190707792,41.62436867076458,77.0,86.69672131147541,97.0
5,5.0,2.5231325220201604,-71.56505117707799,3.3763886032268267,1.8439088914585775,7.414213562373096,78.0,84.7,90.0
6,1.5,1.381976597885342,90.0,1.632993161855452,1.0,3.0,85.0,90.33333333333333,93.0
7,88.0,10.585134856802455,64.05635676023682,16.227632773485666,12.633264362514991,98.61269837220809,83.0,94.97727272727273,105.0
8,3.0,1.9544100476116797,90.0,2.23606797749979,1.632993161855452,5.0,89.0,93.58333333333333,98.0
9,2.0,1.5957691216057308,90.0,2.23606797749979,1.0,4.0,91.0,95.25,98.0
10,959.75,34.95699719740774,-9.359449103119072,109.38949888387691,24.20570275708984,937.1716626096285,83.0,117.4615785360771,137.0
11,5.75,2.7057581899030048,-52.10792673683677,2.9395143678631563,2.5101103854035114,7.707106781186548,100.0,108.04347826086956,112.0
12,6.75,2.9316150714175193,-85.86070418044567,6.3010105636193865,1.4058016299734177,11.103553390593273,102.0,107.5925925925926,114.0
13,123.5,12.539740179716349,-28.202283034408314,22.557529852529598,12.074665190249403,141.8583873865323,105.0,115.62753036437248,123.0
14,7.5,3.0901936161855166,-75.49370714068417,5.902845846418215,2.196150627823578,11.810660171779821,102.0,112.96666666666667,118.0
15,46.0,7.653039857325812,84.32214426893012,12.258054110480947,7.291690364100772,51.55634918610404,104.0,116.6304347826087,122.0
16,9.25,3.431831258788849,-61.18988416817917,4.014139767236344,2.9205285302871205,10.121320343559642,106.0,112.08108108108108,117.0
17,833.5,32.57675798075613,37.236814086671124,68.06587170958181,32.790295975599165,851.2746929899585,101.0,123.83473305338933,140.0
18,66.75,9.218933756735217,36.108514417929555,24.265714665651572,9.072615387401255,77.24873734152916,112.0,119.47940074906367,131.0
19,2.75,1.8712051592547776,74.92930722396234,2.173064992070944,1.533678162302953,4.707106781186548,112.0,115.36363636363636,120.0
20,11.75,3.8678889139475245,-66.79505781869115,5.985480658843809,2.6646260971832483,13.828427124746192,113.0,118.34042553191489,128.0
21,4.75,2.4592453796829674,18.43494882292201,3.4641016151377544,1.7392328044061378,7.414213562373095,109.0,114.52631578947368,118.0
22,5015.75,79.9140240915535,13.118320312239444,165.6480874072224,80.03352103863604,4804.9537674776475,55.0,121.99631161840203,143.0
23,13.25,4.1073621666150775,-0.4750427834871432,9.619775991048533,1.9780647286490594,18.414213562373092,106.0,112.98113207547169,120.0
24,5.5,2.6462837142006137,-62.946332843872796,4.855757601774447,1.62627138223528,8.103553390593273,53.0,75.27272727272727,94.0
25,3.0,1.9544100476116797,0.0,2.23606797749979,1.632993161855452,5.0,91.0,104.25,111.0
26,5.0,2.5231325220201604,-45.0,2.8600699292150185,2.23606797749979,7.121320343559642,101.0,112.05,119.0
27,105.0,11.562445770562215,84.78006914225038,19.495355522724115,13.120738880853922,117.73401871576775,102.0,112.24285714285715,121.0
28,177.0,15.012108426804138,68.45058954855494,30.9169286230688,15.894036083316813,195.0715908221287,104.0,118.63559322033899,127.0
29,6.75,2.9316150714175193,-42.26545251494404,3.8324789267214063,2.315488715646378,9.121320343559642,106.0,114.07407407407408,123.0
30,11.75,3.8678889139475245,-37.01464354309084,5.123725783290777,3.0602876925691187,12.82842712474619,78.0,110.76595744680851,120.0
31,11.75,3.8678889139475245,-88.74330067610721,6.0218151071137855,2.6038132255787967,13.82842712474619,107.0,113.65957446808511,119.0
32,2.25,1.692568750643269,-45.0,1.632993161855452,1.632993161855452,4.0,111.0,115.44444444444444,118.0
33,2.25,1.692568750643269,-45.0,1.632993161855452,1.632993161855452,4.0,110.0,113.22222222222223,115.0
34,2.25,1.692568750643269,-45.0,1.632993161855452,1.632993161855452,4.0,105.0,110.11111111111111,113.0
35,22.25,5.322553886092406,-88.48991641153557,8.194077720566888,4.397165025627089,25.899494936611664,107.0,116.08988764044943,124.0
36,95.75,11.041407809169618,-45.82621691148193,15.91849218052117,13.176973016805462,103.08021279348029,73.0,86.58485639686684,97.0
37,2.25,1.692568750643269,-45.0,1.632993161855452,1.632993161855452,4.0,107.0,113.11111111111111,117.0
38,14.75,4.3336224206596095,-67.1275802267876,8.12350347456408,2.6668000642828646,18.071067811865476,108.0,116.05084745762711,124.0
39,3.5,2.111004122822376,-45.0,2.390457218668787,1.7728105208558367,5.414213562373095,96.0,102.28571428571429,106.0
40,34.0,6.579524642479541,-26.421575135313905,13.062697887456245,5.185716844869544,36.31370849898476,82.0,92.875,101.0
